18:29:05.417 [restartedMain] INFO  com.pzy.BbsApplication - Starting BbsApplication using Java 11.0.8 on YZP with PID 5544 (F:\已做过的项目\个人\个人博客社区\bbs-service\target\classes started by 86177 in F:\已做过的项目\个人\个人博客社区\bbs-service)
18:29:05.417 [restartedMain] DEBUG com.pzy.BbsApplication - Running with Spring Boot v2.5.2, Spring v5.3.8
18:29:05.417 [restartedMain] INFO  com.pzy.BbsApplication - The following profiles are active: dev
18:29:05.417 [restartedMain] DEBUG o.s.boot.SpringApplication - Loading source class com.pzy.BbsApplication
18:29:05.465 [restartedMain] DEBUG o.s.b.d.restart.ChangeableUrls - Matching URLs for reloading : [file:/F:/已做过的项目/个人/个人博客社区/bbs-service/target/classes/]
18:29:05.502 [restartedMain] DEBUG o.s.b.d.settings.DevToolsSettings - Included patterns for restart : [/shiro-[\w-\.]+jar, /mybatis-plus-[\w-]+.jar]
18:29:05.502 [restartedMain] DEBUG o.s.b.d.settings.DevToolsSettings - Excluded patterns for restart : [/spring-boot-starter-[\w-]+/, /spring-boot/(bin|build|out)/, /spring-boot-starter/(bin|build|out)/, /spring-boot-devtools/(bin|build|out)/, /spring-boot-actuator/(bin|build|out)/, /spring-boot-autoconfigure/(bin|build|out)/]
18:29:05.502 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
18:29:05.502 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
18:29:05.502 [restartedMain] DEBUG o.s.b.w.s.c.AnnotationConfigServletWebServerApplicationContext - Refreshing org.springframework.boot.web.servlet.context.AnnotationConfigServletWebServerApplicationContext@6287723d
18:29:05.517 [restartedMain] DEBUG o.s.b.f.s.DefaultListableBeanFactory - Creating shared instance of singleton bean 'org.springframework.context.annotation.internalConfigurationAnnotationProcessor'
18:29:05.532 [restartedMain] DEBUG o.s.b.f.s.DefaultListableBeanFactory - Creating shared instance of singleton bean 'org.springframework.boot.autoconfigure.internalCachingMetadataReaderFactory'
18:29:05.617 [restartedMain] DEBUG o.s.c.a.ClassPathBeanDefinitionScanner - Identified candidate component class: file [F:\已做过的项目\个人\个人博客社区\bbs-service\target\classes\com\pzy\aop\LogAspect.class]
18:29:05.617 [restartedMain] DEBUG o.s.c.a.ClassPathBeanDefinitionScanner - Identified candidate component class: file [F:\已做过的项目\个人\个人博客社区\bbs-service\target\classes\com\pzy\common\config\PzyConfig.class]
18:29:05.632 [restartedMain] DEBUG o.s.c.a.ClassPathBeanDefinitionScanner - Identified candidate component class: file [F:\已做过的项目\个人\个人博客社区\bbs-service\target\classes\com\pzy\common\core\redis\RedisCache.class]
18:29:05.648 [restartedMain] DEBUG o.s.c.a.ClassPathBeanDefinitionScanner - Identified candidate component class: file [F:\已做过的项目\个人\个人博客社区\bbs-service\target\classes\com\pzy\common\exception\GlobalExcepitonHandler.class]
18:29:05.648 [restartedMain] DEBUG o.s.c.a.ClassPathBeanDefinitionScanner - Identified candidate component class: file [F:\已做过的项目\个人\个人博客社区\bbs-service\target\classes\com\pzy\common\web\service\PermissionService.class]
18:29:05.648 [restartedMain] DEBUG o.s.c.a.ClassPathBeanDefinitionScanner - Identified candidate component class: file [F:\已做过的项目\个人\个人博客社区\bbs-service\target\classes\com\pzy\common\web\service\SysLoginService.class]
18:29:05.648 [restartedMain] DEBUG o.s.c.a.ClassPathBeanDefinitionScanner - Identified candidate component class: file [F:\已做过的项目\个人\个人博客社区\bbs-service\target\classes\com\pzy\common\web\service\SysPermissionService.class]
